Feature,SHAP_Importance
time,0.17966626716071254
cd420,0.04073223961577648
offtrt,0.02927311249424715
preanti,0.01779122677551296
symptom,0.008220626266592349
cd80,0.007749084914230539
cd40,0.006915454412333951
strat,0.006875019932166715
race,0.0043173940257894275
cd820,0.0035866698237993744
age,0.002977654293587067
wtkg,0.002749922979425235
homo,0.0025114536131248238
karnof,0.00197708215415609
z30,0.0019501950120272434
str2,0.001947108641930695
trt,0.001850488377115731
gender,0.0015075710935653014
treat,0.0012248943566918469
hemo,0.000638969812970686
drugs,0.00012276989252081206
oprior,0.0
zprior,0.0
