Feature,Importance,Std
time,0.2247663551401869,0.013051621133030657
offtrt,0.029750778816199353,0.00770831341536362
cd420,0.01947040498442364,0.005496036998248413
age,0.007009345794392485,0.0031346747348128022
preanti,0.007009345794392474,0.003056295462671118
race,0.005763239875389381,0.0027907278609297487
homo,0.0056074766355139975,0.003355242870488789
cd80,0.00498442367601244,0.0031769591985001855
z30,0.004828660436137044,0.0020249221183800733
hemo,0.00436137071651087,0.0009345794392523255
wtkg,0.003894080996884719,0.002629586139584751
cd820,0.003738317757009313,0.0031308023741809534
trt,0.0018691588785046509,0.002289242750264656
str2,0.0018691588785046509,0.0015261618335097617
drugs,0.001713395638629256,0.0010903426791277298
gender,0.0012461059190030932,0.0018164959173973053
strat,0.0012461059190030821,0.001945482242491699
cd40,0.0009345794392523144,0.0031308023741809642
symptom,0.0004672897196261516,0.0027023912107316805
zprior,0.0,0.0
treat,-1.1102230246251566e-17,0.0012065368679774029
karnof,-3.3306690738754695e-17,0.0015576323987539053
oprior,-0.0014018691588785549,0.00046728971962618494
