Feature,SHAP_Importance
cd420,0.08436109264283279
preanti,0.017372875078338207
cd40,0.014354406880248265
symptom,0.01312213318004971
treat,0.01193442914879086
trt,0.011468299483245584
wtkg,0.011437228083665296
cd80,0.010069257437017523
cd820,0.009315940909946493
karnof,0.009297292792104036
age,0.007749007381297982
race,0.005932301229764276
strat,0.00565744015308155
gender,0.002475408552977136
offtrt,0.0019182946030707115
homo,0.0018379030577218047
hemo,0.001204483909436406
str2,0.0008487437871402734
z30,0.0007433238787998394
drugs,0.0
oprior,0.0
zprior,0.0
