Feature,Importance,Std
cd420,0.045015576323987526,0.008226009923059753
preanti,0.004049844236760092,0.0023312507082703673
wtkg,0.0029595015576323823,0.002554707082064913
treat,0.0028037383177569875,0.003398352683687147
symptom,0.001090342679127676,0.0029595015576323975
trt,0.0009345794392523254,0.0025308530855563784
drugs,0.00046728971962614054,0.0019764139471105196
age,0.00031152647975075666,0.003928199443276799
z30,0.00015576323987535057,0.0016262159671200113
zprior,0.0,0.0
cd80,-3.3306690738754695e-17,0.002697898454157143
str2,-0.00015576323987542828,0.001901332650425812
offtrt,-0.00031152647975080106,0.0013579124434706098
hemo,-0.00046728971962618494,0.0007137968372205614
cd820,-0.0007788161993769749,0.003636329448575927
oprior,-0.0012461059190031598,0.0006230529595015799
race,-0.0015576323987539164,0.0020897831565418515
gender,-0.0018691588785047064,0.0013579124434705946
homo,-0.00202492211838009,0.0031191564477415458
karnof,-0.002803738317757043,0.0038659419457915518
strat,-0.0034267912772586117,0.0023928802952861723
cd40,-0.004205607476635542,0.00355536205934995
