Feature,SHAP_Importance
time,0.17883897055510384
cd420,0.04248869423777012
offtrt,0.028694369983164245
preanti,0.016230045503085516
strat,0.008328489232860663
symptom,0.008279771137383027
cd80,0.006337987274289365
cd40,0.006083797451674086
z30,0.005530763741579416
race,0.005527607341478574
cd820,0.0050354293661713755
wtkg,0.0035584410087404145
karnof,0.0032819115479038037
homo,0.002098168101347609
age,0.002085747999935653
trt,0.0018546971982800714
treat,0.0016868932256050926
gender,0.0016124239006207045
str2,0.000770862118651154
hemo,0.0005214567421719755
zprior,0.0
oprior,0.0
drugs,0.0
