,LIME_Importance
cd420,0.0906787445688841
symptom,0.043004666052467666
preanti,0.020960500295881698
oprior,0.020421016641136755
race,0.015670877921014296
cd40,0.015437369486853541
cd80,0.013554624280986331
karnof,0.013374464853307712
cd820,0.009098207086711956
age,0.009042745374032771
trt,0.008804743552797955
strat,0.007326222223358767
wtkg,0.007223790257010735
hemo,0.006262407904965882
drugs,0.004929784370010498
offtrt,0.004326833794609506
homo,0.004124687543003102
str2,0.0036427289374859695
z30,0.002269256674540529
zprior,0.0
gender,0.0
treat,0.0
