,LIME_Importance
time,0.13843469377143905
cd420,0.0444028106428922
offtrt,0.03611231657361176
symptom,0.029245873862425796
oprior,0.027533018781898514
preanti,0.022907238512380353
race,0.01629647317852603
z30,0.00942753543006149
cd80,0.009166455365611477
hemo,0.008967387918021963
drugs,0.008715378467978086
cd40,0.008685418000954272
age,0.008202000546776398
strat,0.007709355241223891
karnof,0.006755654935708951
homo,0.0043121614943262485
str2,0.004261709400761588
cd820,0.0036219177858926644
wtkg,0.0033056290271831212
trt,0.0031344903525341227
treat,0.0
gender,0.0
zprior,0.0
