Feature,SHAP_Importance
time,0.1787859604622408
cd420,0.04240808044881657
offtrt,0.029411602994474765
preanti,0.016445699842714025
strat,0.008389946661663868
symptom,0.007888162179863044
cd40,0.006757947579978787
cd80,0.006710257875173681
race,0.005796099929929427
z30,0.005726727138182821
cd820,0.004773647645605854
wtkg,0.003582570882230446
karnof,0.003001835418086798
age,0.002163398160097377
homo,0.001921170451363598
trt,0.0018725645278638953
gender,0.0016766342661673932
treat,0.001493943311031464
str2,0.0006588523032190576
hemo,0.000509755531557237
zprior,0.0
oprior,0.0
drugs,0.0
