Feature,Importance,Std
cd420,0.043925233644859764,0.00790565578844207
offtrt,0.0020249221183800347,0.0019764139471105326
race,0.001713395638629267,0.0016262159671200358
wtkg,0.001713395638629256,0.00371553284793663
preanti,0.001401869158878477,0.002825289275267471
cd80,0.0010903426791276983,0.0034161545482026975
zprior,0.0,0.0
oprior,-0.00015576323987539497,0.00046728971962618494
treat,-0.00031152647975080106,0.0013579124434706098
trt,-0.00031152647975081217,0.0031769591985001742
drugs,-0.0012461059190031377,0.0011656253541351904
symptom,-0.0014018691588785104,0.002992114129641525
z30,-0.002336448598130858,0.002230190196772012
cd820,-0.0023364485981308804,0.002438080349298824
age,-0.002492211838006253,0.004578485500529289
str2,-0.002492211838006253,0.0015884795992500758
hemo,-0.002492211838006264,0.0010332164455935692
gender,-0.0028037383177570317,0.0016776214352443879
strat,-0.004517133956386321,0.0014694674660524216
cd40,-0.0048286604361371,0.004747585873560177
homo,-0.0048286604361371,0.003300563878569639
karnof,-0.00591900311526482,0.0036728430288322845
